1
*
Settings Report

80874, 80878-1, V1.0.5
Location, 002
Size, 0.3, 0.5, 1.0, 2.5
Units, /L
Sample Time, 60
Mode, CONTINUOUS
Serial Number, R10295
Favorite 1, 0.3u
Favorite 2, 2.5u
2

Time,Loc,Period,Size1,Count1,Size2,Count2,Size3,Count3,Size4,Count4,Units,Status
01/JUN/2018 15:03:59,002,60,0.3,72399,0.5,5517,1.0,1714,2.5,394,/L,000
01/JUN/2018 15:04:59,002,60,0.3,72788,0.5,5560,1.0,1722,2.5,416,/L,000
01/JUN/2018 15:05:59,002,60,0.3,75666,0.5,5721,1.0,1773,2.5,416,/L,000
01/JUN/2018 15:06:59,002,60,0.3,73268,0.5,5698,1.0,1824,2.5,426,/L,000
01/JUN/2018 15:07:59,002,60,0.3,70945,0.5,5576,1.0,1755,2.5,403,/L,000
01/JUN/2018 15:08:59,002,60,0.3,69557,0.5,5334,1.0,1774,2.5,429,/L,000
01/JUN/2018 15:09:59,002,60,0.3,71649,0.5,5847,1.0,2055,2.5,596,/L,000
01/JUN/2018 15:10:59,002,60,0.3,72180,0.5,5506,1.0,1717,2.5,407,/L,000
01/JUN/2018 15:11:59,002,60,0.3,67915,0.5,5333,1.0,1735,2.5,410,/L,000
01/JUN/2018 15:12:59,002,60,0.3,69467,0.5,5448,1.0,1760,2.5,433,/L,000
01/JUN/2018 15:13:59,002,60,0.3,73174,0.5,5890,1.0,1774,2.5,415,/L,000
01/JUN/2018 15:14:59,002,60,0.3,74189,0.5,5990,1.0,1725,2.5,407,/L,000
01/JUN/2018 15:15:59,002,60,0.3,73959,0.5,6066,1.0,1766,2.5,415,/L,000
01/JUN/2018 15:16:59,002,60,0.3,66873,0.5,5381,1.0,1698,2.5,367,/L,000
01/JUN/2018 15:17:59,002,60,0.3,67851,0.5,5758,1.0,1688,2.5,381,/L,000
01/JUN/2018 15:18:59,002,60,0.3,65815,0.5,5370,1.0,1673,2.5,382,/L,000
01/JUN/2018 15:19:59,002,60,0.3,63879,0.5,5053,1.0,1584,2.5,332,/L,000
01/JUN/2018 15:20:59,002,60,0.3,65768,0.5,5349,1.0,1649,2.5,370,/L,000
01/JUN/2018 15:21:59,002,60,0.3,65873,0.5,5392,1.0,1628,2.5,356,/L,000
01/JUN/2018 15:22:59,002,60,0.3,64371,0.5,5233,1.0,1661,2.5,354,/L,000
01/JUN/2018 15:23:59,002,60,0.3,63187,0.5,4937,1.0,1582,2.5,337,/L,000
01/JUN/2018 15:24:59,002,60,0.3,64551,0.5,5127,1.0,1689,2.5,394,/L,000
01/JUN/2018 15:25:59,002,60,0.3,64666,0.5,5157,1.0,1661,2.5,383,/L,000
01/JUN/2018 15:26:59,002,60,0.3,63573,0.5,4995,1.0,1608,2.5,375,/L,000
01/JUN/2018 15:27:59,002,60,0.3,62193,0.5,4992,1.0,1610,2.5,375,/L,000
01/JUN/2018 15:28:59,002,60,0.3,63538,0.5,4986,1.0,1604,2.5,336,/L,000
01/JUN/2018 15:29:59,002,60,0.3,61893,0.5,4918,1.0,1542,2.5,343,/L,000
01/JUN/2018 15:30:59,002,60,0.3,62523,0.5,5061,1.0,1604,2.5,361,/L,000
01/JUN/2018 15:31:59,002,60,0.3,60095,0.5,4678,1.0,1457,2.5,329,/L,000
01/JUN/2018 15:32:59,002,60,0.3,62010,0.5,4946,1.0,1573,2.5,370,/L,000
01/JUN/2018 15:33:59,002,60,0.3,61799,0.5,5018,1.0,1609,2.5,368,/L,000
01/JUN/2018 15:34:59,002,60,0.3,60916,0.5,4866,1.0,1594,2.5,380,/L,000
01/JUN/2018 15:35:59,002,60,0.3,61076,0.5,4853,1.0,1599,2.5,359,/L,000
01/JUN/2018 15:36:59,002,60,0.3,63226,0.5,5091,1.0,1625,2.5,370,/L,000
01/JUN/2018 15:37:59,002,60,0.3,64162,0.5,5101,1.0,1639,2.5,359,/L,000
01/JUN/2018 15:38:59,002,60,0.3,64952,0.5,5226,1.0,1658,2.5,350,/L,000
01/JUN/2018 15:39:59,002,60,0.3,64330,0.5,5109,1.0,1614,2.5,351,/L,000
01/JUN/2018 15:40:59,002,60,0.3,64352,0.5,5023,1.0,1621,2.5,343,/L,000
01/JUN/2018 15:41:59,002,60,0.3,63223,0.5,5078,1.0,1669,2.5,390,/L,000
01/JUN/2018 15:42:59,002,60,0.3,63526,0.5,5104,1.0,1699,2.5,389,/L,000
01/JUN/2018 15:43:59,002,60,0.3,64612,0.5,5296,1.0,1683,2.5,409,/L,000
01/JUN/2018 15:44:59,002,60,0.3,61096,0.5,4923,1.0,1602,2.5,354,/L,000
01/JUN/2018 15:45:59,002,60,0.3,61548,0.5,4972,1.0,1612,2.5,357,/L,000
01/JUN/2018 15:46:59,002,60,0.3,62973,0.5,5144,1.0,1680,2.5,379,/L,000
01/JUN/2018 15:47:59,002,60,0.3,63612,0.5,5246,1.0,1685,2.5,394,/L,000
01/JUN/2018 15:48:59,002,60,0.3,63681,0.5,5201,1.0,1690,2.5,377,/L,000
01/JUN/2018 15:49:59,002,60,0.3,62717,0.5,5036,1.0,1618,2.5,360,/L,000
01/JUN/2018 15:50:59,002,60,0.3,64916,0.5,5221,1.0,1679,2.5,404,/L,000
01/JUN/2018 15:51:59,002,60,0.3,66089,0.5,5282,1.0,1685,2.5,394,/L,000
01/JUN/2018 15:52:59,002,60,0.3,65099,0.5,5232,1.0,1622,2.5,351,/L,000
01/JUN/2018 15:53:59,002,60,0.3,67897,0.5,5324,1.0,1698,2.5,388,/L,000
01/JUN/2018 15:54:59,002,60,0.3,65781,0.5,5182,1.0,1708,2.5,402,/L,000
01/JUN/2018 15:55:59,002,60,0.3,68552,0.5,5472,1.0,1731,2.5,394,/L,000
01/JUN/2018 15:56:59,002,60,0.3,69140,0.5,5433,1.0,1690,2.5,408,/L,000
01/JUN/2018 15:57:59,002,60,0.3,67758,0.5,5176,1.0,1632,2.5,385,/L,000
01/JUN/2018 15:58:59,002,60,0.3,68025,0.5,5870,1.0,1722,2.5,392,/L,000
01/JUN/2018 15:59:59,002,60,0.3,68314,0.5,5318,1.0,1589,2.5,339,/L,000
01/JUN/2018 16:00:59,002,60,0.3,68125,0.5,5271,1.0,1647,2.5,363,/L,000
01/JUN/2018 16:01:59,002,60,0.3,68986,0.5,5375,1.0,1697,2.5,381,/L,000
01/JUN/2018 16:02:59,002,60,0.3,68067,0.5,5340,1.0,1684,2.5,393,/L,000
01/JUN/2018 16:03:59,002,60,0.3,69966,0.5,5434,1.0,1715,2.5,379,/L,000
01/JUN/2018 16:04:59,002,60,0.3,71476,0.5,5652,1.0,1768,2.5,385,/L,000
01/JUN/2018 16:05:59,002,60,0.3,73598,0.5,5732,1.0,1753,2.5,415,/L,000
01/JUN/2018 16:06:59,002,60,0.3,74637,0.5,5720,1.0,1756,2.5,415,/L,000
01/JUN/2018 16:07:59,002,60,0.3,75669,0.5,5934,1.0,1833,2.5,420,/L,000
01/JUN/2018 16:08:59,002,60,0.3,74850,0.5,5815,1.0,1828,2.5,411,/L,000
01/JUN/2018 16:09:59,002,60,0.3,74916,0.5,5807,1.0,1802,2.5,424,/L,000
01/JUN/2018 16:10:59,002,60,0.3,75374,0.5,5819,1.0,1728,2.5,391,/L,000
01/JUN/2018 16:11:59,002,60,0.3,74900,0.5,5584,1.0,1718,2.5,390,/L,000
01/JUN/2018 16:12:59,002,60,0.3,74010,0.5,5447,1.0,1718,2.5,401,/L,000
01/JUN/2018 16:13:59,002,60,0.3,76079,0.5,5776,1.0,1757,2.5,396,/L,000
01/JUN/2018 16:14:59,002,60,0.3,76118,0.5,5862,1.0,1770,2.5,402,/L,000
01/JUN/2018 16:15:59,002,60,0.3,77442,0.5,6069,1.0,1782,2.5,410,/L,000
01/JUN/2018 16:16:59,002,60,0.3,75426,0.5,5833,1.0,1821,2.5,416,/L,000
01/JUN/2018 16:17:59,002,60,0.3,76916,0.5,5917,1.0,1841,2.5,437,/L,000
01/JUN/2018 16:18:59,002,60,0.3,76585,0.5,6021,1.0,1840,2.5,424,/L,000
01/JUN/2018 16:19:59,002,60,0.3,74174,0.5,5734,1.0,1735,2.5,386,/L,000
01/JUN/2018 16:20:59,002,60,0.3,72439,0.5,5458,1.0,1667,2.5,376,/L,000
01/JUN/2018 16:21:59,002,60,0.3,75279,0.5,5687,1.0,1717,2.5,403,/L,000
01/JUN/2018 16:22:59,002,60,0.3,74854,0.5,5633,1.0,1723,2.5,375,/L,000
01/JUN/2018 16:23:59,002,60,0.3,74501,0.5,5517,1.0,1766,2.5,424,/L,000
01/JUN/2018 16:24:59,002,60,0.3,75680,0.5,5667,1.0,1766,2.5,418,/L,000
