1
*
Settings Report

80874, 80878-1, V1.0.5
Location, 002
Size, 0.3, 0.5, 1.0, 2.5
Units, /L
Sample Time, 60
Mode, CONTINUOUS
Serial Number, R10295
Favorite 1, 0.3u
Favorite 2, 2.5u
2

Time,Loc,Period,Size1,Count1,Size2,Count2,Size3,Count3,Size4,Count4,Units,Status
24/JUN/2018 10:46:41,002,60,0.3,39571,0.5,3270,1.0,1059,2.5,231,/L,000
24/JUN/2018 10:47:41,002,60,0.3,38485,0.5,3258,1.0,1054,2.5,229,/L,000
24/JUN/2018 10:48:41,002,60,0.3,43406,0.5,3927,1.0,1276,2.5,289,/L,000
24/JUN/2018 10:49:41,002,60,0.3,46225,0.5,4286,1.0,1324,2.5,323,/L,000
24/JUN/2018 10:50:41,002,60,0.3,48314,0.5,4132,1.0,1369,2.5,327,/L,000
24/JUN/2018 10:51:41,002,60,0.3,49507,0.5,4408,1.0,1535,2.5,406,/L,000
24/JUN/2018 10:52:41,002,60,0.3,50062,0.5,4288,1.0,1433,2.5,377,/L,000
24/JUN/2018 10:53:41,002,60,0.3,49537,0.5,4284,1.0,1457,2.5,375,/L,000
24/JUN/2018 10:54:41,002,60,0.3,48875,0.5,4211,1.0,1462,2.5,383,/L,000
24/JUN/2018 10:55:41,002,60,0.3,48460,0.5,4092,1.0,1388,2.5,366,/L,000
24/JUN/2018 10:56:41,002,60,0.3,47439,0.5,3881,1.0,1317,2.5,324,/L,000
24/JUN/2018 10:57:41,002,60,0.3,47523,0.5,3830,1.0,1342,2.5,329,/L,000
24/JUN/2018 10:58:41,002,60,0.3,47582,0.5,3876,1.0,1313,2.5,315,/L,000
24/JUN/2018 10:59:41,002,60,0.3,47334,0.5,3838,1.0,1283,2.5,312,/L,000
24/JUN/2018 11:00:41,002,60,0.3,48280,0.5,3887,1.0,1276,2.5,298,/L,000
24/JUN/2018 11:01:41,002,60,0.3,47003,0.5,3844,1.0,1227,2.5,298,/L,000
24/JUN/2018 11:02:41,002,60,0.3,47378,0.5,3832,1.0,1272,2.5,279,/L,000
24/JUN/2018 11:03:41,002,60,0.3,49178,0.5,4179,1.0,1325,2.5,311,/L,000
24/JUN/2018 11:04:41,002,60,0.3,51973,0.5,4454,1.0,1367,2.5,315,/L,000
24/JUN/2018 11:05:41,002,60,0.3,52208,0.5,4611,1.0,1376,2.5,319,/L,000
24/JUN/2018 11:06:41,002,60,0.3,47236,0.5,3934,1.0,1231,2.5,289,/L,000
24/JUN/2018 11:07:41,002,60,0.3,42878,0.5,3516,1.0,1142,2.5,259,/L,000
