1
*
Settings Report

80874, 80878-1, V1.0.5
Location, 002
Size, 0.3, 0.5, 1.0, 2.5
Units, /L
Sample Time, 60
Mode, CONTINUOUS
Serial Number, R10295
Favorite 1, 0.3u
Favorite 2, 2.5u
28/JUN/2018 11:01:09,002,60,0.3,65924,0.5,3110,1.0,822,2.5,197,/L,000,*3539
2

Time,Loc,Period,Size1,Count1,Size2,Count2,Size3,Count3,Size4,Count4,Units,Status
26/JUN/2018 14:09:01,002,60,0.3,104825,0.5,6761,1.0,1413,2.5,312,/L,000
26/JUN/2018 14:10:01,002,60,0.3,103643,0.5,6144,1.0,1381,2.5,319,/L,000
26/JUN/2018 14:11:01,002,60,0.3,104399,0.5,6924,1.0,1422,2.5,302,/L,000
26/JUN/2018 14:12:01,002,60,0.3,96485,0.5,5376,1.0,1308,2.5,301,/L,000
26/JUN/2018 14:13:01,002,60,0.3,99787,0.5,5685,1.0,1374,2.5,321,/L,000
26/JUN/2018 14:14:01,002,60,0.3,105470,0.5,7291,1.0,1430,2.5,326,/L,000
26/JUN/2018 14:15:01,002,60,0.3,102119,0.5,6538,1.0,1383,2.5,328,/L,000
26/JUN/2018 14:16:01,002,60,0.3,98915,0.5,5657,1.0,1414,2.5,339,/L,000
26/JUN/2018 14:17:01,002,60,0.3,99439,0.5,5806,1.0,1508,2.5,365,/L,000
26/JUN/2018 14:18:01,002,60,0.3,98933,0.5,6235,1.0,1413,2.5,312,/L,000
26/JUN/2018 14:19:01,002,60,0.3,99112,0.5,5922,1.0,1403,2.5,330,/L,000
26/JUN/2018 14:20:01,002,60,0.3,101946,0.5,6615,1.0,1437,2.5,324,/L,000
26/JUN/2018 14:21:01,002,60,0.3,101727,0.5,8148,1.0,1939,2.5,563,/L,000
26/JUN/2018 14:22:01,002,60,0.3,99699,0.5,7111,1.0,1509,2.5,366,/L,000
26/JUN/2018 14:23:01,002,60,0.3,100609,0.5,7457,1.0,1444,2.5,300,/L,000
26/JUN/2018 14:24:01,002,60,0.3,104715,0.5,8532,1.0,1514,2.5,336,/L,000
26/JUN/2018 14:25:01,002,60,0.3,104215,0.5,7574,1.0,1567,2.5,366,/L,000
26/JUN/2018 14:26:01,002,60,0.3,101781,0.5,7357,1.0,1533,2.5,350,/L,000
26/JUN/2018 14:27:01,002,60,0.3,104215,0.5,9271,1.0,1592,2.5,314,/L,000
26/JUN/2018 14:28:01,002,60,0.3,100939,0.5,8172,1.0,1550,2.5,317,/L,000
26/JUN/2018 14:29:01,002,60,0.3,98240,0.5,6513,1.0,1456,2.5,321,/L,000
26/JUN/2018 14:30:01,002,60,0.3,95866,0.5,5912,1.0,1410,2.5,319,/L,000
26/JUN/2018 14:31:01,002,60,0.3,94918,0.5,5532,1.0,1415,2.5,351,/L,000
26/JUN/2018 14:32:01,002,60,0.3,97653,0.5,5730,1.0,1417,2.5,343,/L,000
26/JUN/2018 14:33:01,002,60,0.3,96998,0.5,6088,1.0,1490,2.5,378,/L,000
26/JUN/2018 14:34:01,002,60,0.3,94523,0.5,5384,1.0,1302,2.5,269,/L,000
26/JUN/2018 14:35:01,002,60,0.3,95349,0.5,5475,1.0,1378,2.5,324,/L,000
26/JUN/2018 14:36:01,002,60,0.3,94012,0.5,5427,1.0,1323,2.5,320,/L,000
26/JUN/2018 14:37:01,002,60,0.3,92711,0.5,5326,1.0,1406,2.5,354,/L,000
26/JUN/2018 14:38:01,002,60,0.3,94196,0.5,5288,1.0,1327,2.5,308,/L,000
