11/JUL/2018 10:18:45,002,60,0.3,68472,0.5,5160,1.0,1477,2.5,380,/L,000,*3593
1
*
Settings Report

80874, 80878-1, V1.0.5
Location, 002
Size, 0.3, 0.5, 1.0, 2.5
Units, /L
Sample Time, 60
Mode, CONTINUOUS
Serial Number, R10295
Favorite 1, 0.3u
Favorite 2, 2.5u
2

Time,Loc,Period,Size1,Count1,Size2,Count2,Size3,Count3,Size4,Count4,Units,Status
09/JUL/2018 13:26:38,002,60,0.3,72520,0.5,6235,1.0,1570,2.5,307,/L,000
09/JUL/2018 13:27:38,002,60,0.3,72134,0.5,6702,1.0,1805,2.5,421,/L,000
09/JUL/2018 13:28:38,002,60,0.3,73544,0.5,6351,1.0,1574,2.5,281,/L,000
09/JUL/2018 13:29:38,002,60,0.3,71649,0.5,6161,1.0,1559,2.5,295,/L,000
09/JUL/2018 13:30:38,002,60,0.3,74939,0.5,6882,1.0,1677,2.5,312,/L,000
09/JUL/2018 13:31:38,002,60,0.3,77090,0.5,7514,1.0,1613,2.5,282,/L,000
09/JUL/2018 13:32:38,002,60,0.3,71766,0.5,6286,1.0,1541,2.5,286,/L,000
09/JUL/2018 13:33:38,002,60,0.3,66253,0.5,5580,1.0,1493,2.5,294,/L,000
09/JUL/2018 13:34:38,002,60,0.3,70002,0.5,6056,1.0,1497,2.5,282,/L,000
09/JUL/2018 13:35:38,002,60,0.3,68590,0.5,5705,1.0,1429,2.5,262,/L,000
09/JUL/2018 13:36:38,002,60,0.3,69786,0.5,5808,1.0,1435,2.5,246,/L,000
09/JUL/2018 13:37:38,002,60,0.3,70850,0.5,5929,1.0,1515,2.5,279,/L,000
09/JUL/2018 13:38:38,002,60,0.3,74606,0.5,6215,1.0,1486,2.5,280,/L,000
09/JUL/2018 13:39:38,002,60,0.3,77473,0.5,7596,1.0,1594,2.5,285,/L,000
09/JUL/2018 13:40:38,002,60,0.3,73211,0.5,6653,1.0,1472,2.5,270,/L,000
09/JUL/2018 13:41:38,002,60,0.3,74666,0.5,6917,1.0,1532,2.5,295,/L,000
09/JUL/2018 13:42:38,002,60,0.3,81296,0.5,8259,1.0,1552,2.5,281,/L,000
09/JUL/2018 13:43:38,002,60,0.3,77100,0.5,7314,1.0,1533,2.5,262,/L,000
09/JUL/2018 13:44:38,002,60,0.3,75120,0.5,6608,1.0,1521,2.5,275,/L,000
