תחנה:עצמאות חיפה -  , SO2      , PM1      , Spare    , TOLUENE  , Benzen   , 1,3 But  , SHT      , PM2.5    , PM10     , CO       , No2      , Nox      , No       , תאריך  \ שעה             
 , ppb      , g/m3µ    , None     , ppb      , ppb      , ppb      , °c       , µg/m3    , µg/m3    , ppm      , ppb      , ppb      , ppb      ,                          
 , 1.7      , 15       , Down     , 0.35     , 0.00     , Down     , Down     , 17.8     , Down     , 0.3      , 40.7     , 49.2     , 8.5      , 05/06/2018 24:00         
 , 1.7      , 16       , Down     , 0.35     , 0.00     , Down     , Down     , 22.9     , Down     , 0.3      , 33.7     , 37.6     , 4.0      , 06/06/2018 00:05         
 , 1.1      , 16       , Down     , 0.35     , 0.00     , Down     , Down     , 26.6     , Down     , 0.3      , 26.1     , 26.2     , 0.7      , 06/06/2018 00:10         
 , Calib    , 15       , Down     , 0.35     , 0.00     , Down     , Down     , 27.3     , Down     , 0.3      , 18.2     , 18.8     , 0.7      , 06/06/2018 00:15         
 , Calib    , 16       , Down     , 0.29     , 0.01     , Down     , Down     , 24.0     , Down     , 0.3      , 13.9     , 13.6     , 0.0      , 06/06/2018 00:20         
 , Calib    , 16       , Down     , 0.28     , 0.01     , Down     , Down     , 24.6     , Down     , 0.3      , 15.6     , 16.1     , 0.4      , 06/06/2018 00:25         
 , Calib    , 15       , Down     , 0.28     , 0.01     , Down     , Down     , 24.5     , Down     , 0.3      , 18.7     , 19.1     , 0.2      , 06/06/2018 00:30         
 , Calib    , 12       , Down     , 0.28     , 0.01     , Down     , Down     , 20.5     , Down     , 0.3      , 19.2     , 19.0     , 0.1      , 06/06/2018 00:35         
 , Calib    , 11       , Down     , 0.28     , 0.01     , Down     , Down     , 17.7     , Down     , 0.3      , 19.4     , 21.7     , 2.0      , 06/06/2018 00:40         
 , Calib    , 12       , Down     , 0.28     , 0.01     , Down     , Down     , 14.7     , Down     , 0.3      , 22.4     , 23.1     , 1.0      , 06/06/2018 00:45         
 , 0.4      , 12       , Down     , 0.38     , 0.01     , Down     , Down     , 11.6     , Down     , 0.3      , 13.5     , 13.6     , 0.0      , 06/06/2018 00:50         
 , 0.2      , 12       , Down     , 0.40     , 0.01     , Down     , Down     , 11.5     , Down     , 0.4      , 19.6     , 23.0     , 3.6      , 06/06/2018 00:55         
 , 0.5      , 11       , Down     , 0.40     , 0.01     , Down     , Down     , 11.0     , Down     , 0.3      , 9.2      , 9.0      , 0.0      , 06/06/2018 01:00         
 , 0.2      , 10       , Down     , 0.40     , 0.01     , Down     , Down     , 8.1      , Down     , 0.3      , 7.1      , 6.8      , 0.0      , 06/06/2018 01:05         
 , 0.2      , 11       , Down     , 0.40     , 0.01     , Down     , Down     , 9.0      , Down     , 0.3      , 8.6      , 8.5      , 0.0      , 06/06/2018 01:10         
 , 0.3      , 11       , Down     , 0.40     , 0.01     , Down     , Down     , 8.8      , Down     , 0.3      , 10.2     , 10.0     , 0.0      , 06/06/2018 01:15         
 , 0.4      , 10       , Down     , 0.39     , 0.05     , Down     , Down     , 6.7      , Down     , 0.3      , 9.2      , 8.9      , 0.0      , 06/06/2018 01:20         
 , 0.0      , 10       , Down     , 0.39     , 0.06     , Down     , Down     , 4.6      , Down     , 0.3      , 12.7     , 13.0     , 0.1      , 06/06/2018 01:25         
 , 0.0      , 10       , Down     , 0.39     , 0.06     , Down     , Down     , 1.7      , Down     , 0.3      , 14.7     , 14.7     , 0.0      , 06/06/2018 01:30         
